"timestamp [UTC]",message
"3/26/2026, 2:41:24.201 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492884.2006,115.41,BENCHMARK,"
"3/26/2026, 2:41:23.870 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.8697,23.85,BENCHMARK,"
"3/26/2026, 2:41:23.757 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.7568,70.19,BENCHMARK,"
"3/26/2026, 2:41:23.756 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.7554,123.71,BENCHMARK,"
"3/26/2026, 2:41:23.756 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.7553,134.39,BENCHMARK,"
"3/26/2026, 2:41:23.755 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.7550,142.02,BENCHMARK,"
"3/26/2026, 2:41:23.753 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.7522,135.20,BENCHMARK,"
"3/26/2026, 2:41:23.753 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.7509,123.28,BENCHMARK,"
"3/26/2026, 2:41:23.187 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.1865,10.43,BENCHMARK,"
"3/26/2026, 2:41:23.186 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.1864,59.35,BENCHMARK,"
"3/26/2026, 2:41:23.114 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.1124,95.54,BENCHMARK,"
"3/26/2026, 2:41:23.112 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.1114,91.78,BENCHMARK,"
"3/26/2026, 2:41:23.111 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492883.1098,76.91,BENCHMARK,"
"3/26/2026, 2:41:22.996 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.9955,125.24,BENCHMARK,"
"3/26/2026, 2:41:22.996 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.9954,119.10,BENCHMARK,"
"3/26/2026, 2:41:22.996 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.9953,128.64,BENCHMARK,"
"3/26/2026, 2:41:22.996 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.9951,107.02,BENCHMARK,"
"3/26/2026, 2:41:22.996 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.9950,115.08,BENCHMARK,"
"3/26/2026, 2:41:22.541 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.5404,20.61,BENCHMARK,"
"3/26/2026, 2:41:22.539 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.5386,79.04,BENCHMARK,"
"3/26/2026, 2:41:22.413 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.4095,109.84,BENCHMARK,"
"3/26/2026, 2:41:22.413 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.4094,113.54,BENCHMARK,"
"3/26/2026, 2:41:22.406 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492882.4055,117.33,BENCHMARK,"
"3/26/2026, 2:41:21.971 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492881.9705,111.42,BENCHMARK,"
"3/26/2026, 2:41:21.861 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492881.8611,62.87,BENCHMARK,"
"3/26/2026, 2:41:21.565 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492881.5644,367.89,BENCHMARK,"
"3/26/2026, 2:41:21.564 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492881.5631,432.19,BENCHMARK,"
"3/26/2026, 2:41:21.562 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492881.5603,449.11,BENCHMARK,"
"3/26/2026, 2:41:21.560 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492881.5595,433.26,BENCHMARK,"
"3/26/2026, 2:41:20.507 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492880.5070,71.67,BENCHMARK,"
"3/26/2026, 2:41:20.506 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492880.5042,86.98,BENCHMARK,"
"3/26/2026, 2:41:20.506 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492880.5041,80.97,BENCHMARK,"
"3/26/2026, 2:41:20.506 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492880.5040,89.12,BENCHMARK,"
"3/26/2026, 2:41:20.502 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492880.5021,70.12,BENCHMARK,"
"3/26/2026, 2:41:20.502 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492880.5019,72.98,BENCHMARK,"
"3/26/2026, 2:41:20.502 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492880.5007,88.71,BENCHMARK,"
"3/26/2026, 2:41:19.967 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492879.9670,297.29,BENCHMARK,"
"3/26/2026, 2:41:19.306 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492879.3063,344.35,BENCHMARK,"
"3/26/2026, 2:41:19.305 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492879.3043,346.83,BENCHMARK,"
"3/26/2026, 2:41:19.303 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492879.3027,331.43,BENCHMARK,"
"3/26/2026, 2:41:18.668 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.6680,112.43,BENCHMARK,"
"3/26/2026, 2:41:18.343 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.3402,103.05,BENCHMARK,"
"3/26/2026, 2:41:18.343 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.3402,112.13,BENCHMARK,"
"3/26/2026, 2:41:18.343 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.3400,71.88,BENCHMARK,"
"3/26/2026, 2:41:18.338 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.3362,133.59,BENCHMARK,"
"3/26/2026, 2:41:18.338 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.3361,151.94,BENCHMARK,"
"3/26/2026, 2:41:18.338 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.3360,154.88,BENCHMARK,"
"3/26/2026, 2:41:18.338 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.3359,149.34,BENCHMARK,"
"3/26/2026, 2:41:18.332 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.3279,136.55,BENCHMARK,"
"3/26/2026, 2:41:18.309 AM","[METRICS] AZURE,Worker,execution_benchmark_queue,1774492878.3093,109.99,BENCHMARK,"
