provider,request_id,status,duration_ms,error
AWS,9,200,3014.44,
AWS,7,200,3015.72,
AWS,8,200,3016.10,
AWS,0,200,3261.83,
AWS,1,200,3293.48,
AWS,6,200,3317.37,
AWS,10,200,313.55,
AWS,4,200,3352.36,
AWS,2,200,3354.04,
AWS,3,200,3432.69,
AWS,5,200,3432.08,
AWS,11,200,546.42,
AWS,14,200,296.35,
AWS,12,200,572.78,
AWS,16,200,300.12,
AWS,18,200,298.92,
AWS,17,200,311.92,
AWS,20,200,302.21,
AWS,19,200,303.94,
AWS,13,200,593.18,
AWS,15,200,544.04,
AWS,21,200,315.73,
AWS,22,200,321.59,
AWS,23,200,324.29,
AWS,24,200,306.79,
AWS,26,200,316.45,
AWS,28,200,305.46,
AWS,30,200,319.02,
AWS,29,200,327.31,
AWS,31,200,303.27,
AWS,32,200,288.06,
AWS,25,200,581.72,
AWS,27,200,532.42,
AWS,36,200,311.17,
AWS,33,200,530.76,
AWS,38,200,309.01,
AWS,37,200,312.30,
AWS,39,200,313.54,
AWS,34,200,562.30,
AWS,40,200,308.84,
AWS,35,200,535.64,
AWS,43,200,310.03,
AWS,44,200,305.96,
AWS,41,200,535.70,
AWS,42,200,543.57,
AWS,45,200,309.41,
AWS,48,200,311.72,
AWS,46,200,317.54,
AWS,47,200,314.46,
AWS,49,200,319.65,
