provider,request_id,status,duration_ms,error
AZURE,8,200,4716.20,
AZURE,4,200,4718.73,
AZURE,1,200,4720.38,
AZURE,5,200,4716.25,
AZURE,2,200,4718.99,
AZURE,3,200,4720.55,
AZURE,0,200,4738.89,
AZURE,6,200,4736.96,
AZURE,9,200,4738.56,
AZURE,7,200,5066.76,
AZURE,11,200,736.30,
AZURE,16,200,727.93,
AZURE,17,200,734.77,
AZURE,20,200,663.26,
AZURE,21,200,1410.51,
AZURE,14,200,2149.49,
AZURE,19,200,1823.97,
AZURE,22,200,1415.10,
AZURE,12,200,2162.36,
AZURE,10,200,2166.90,
AZURE,18,200,2185.76,
AZURE,27,200,673.95,
AZURE,30,200,644.04,
AZURE,28,200,674.12,
AZURE,24,200,755.96,
AZURE,31,200,666.96,
AZURE,34,200,659.75,
AZURE,15,200,4064.96,
AZURE,33,200,1218.32,
AZURE,26,200,1906.57,
AZURE,35,200,657.03,
AZURE,36,200,660.75,
AZURE,25,200,2497.60,
AZURE,29,200,2488.82,
AZURE,23,200,3253.62,
AZURE,32,200,1822.23,
AZURE,13,200,4671.76,
AZURE,38,200,667.93,
AZURE,39,200,665.94,
AZURE,37,200,672.25,
AZURE,40,200,659.92,
AZURE,41,200,644.28,
AZURE,44,200,724.55,
AZURE,46,200,719.14,
AZURE,42,200,731.87,
AZURE,45,200,722.92,
AZURE,43,200,731.99,
AZURE,49,200,655.88,
AZURE,48,200,819.80,
AZURE,47,200,1084.99,
