provider,request_id,status,duration_ms,error
LOCAL,1,200,20.88,
LOCAL,6,200,21.40,
LOCAL,2,200,22.14,
LOCAL,7,200,22.48,
LOCAL,9,200,23.12,
LOCAL,5,200,23.94,
LOCAL,0,200,24.78,
LOCAL,3,200,24.97,
LOCAL,8,200,25.68,
LOCAL,4,200,26.08,
LOCAL,11,200,5.86,
LOCAL,12,200,7.08,
LOCAL,10,200,8.77,
LOCAL,15,200,7.44,
LOCAL,13,200,9.43,
LOCAL,14,200,9.11,
LOCAL,17,200,8.19,
LOCAL,18,200,7.78,
LOCAL,16,200,9.64,
LOCAL,19,200,8.35,
LOCAL,20,200,7.66,
LOCAL,21,200,6.69,
LOCAL,22,200,7.20,
LOCAL,23,200,5.86,
LOCAL,24,200,5.65,
LOCAL,26,200,5.28,
LOCAL,25,200,6.30,
LOCAL,27,200,5.65,
LOCAL,28,200,6.05,
LOCAL,29,200,6.31,
LOCAL,30,200,5.93,
LOCAL,31,200,5.84,
LOCAL,32,200,5.44,
LOCAL,33,200,5.45,
LOCAL,34,200,5.75,
LOCAL,35,200,5.70,
LOCAL,36,200,6.07,
LOCAL,37,200,7.11,
LOCAL,38,200,6.91,
LOCAL,39,200,6.96,
LOCAL,40,200,7.65,
LOCAL,41,200,8.40,
LOCAL,42,200,8.31,
LOCAL,43,200,8.89,
LOCAL,44,200,8.89,
LOCAL,45,200,9.65,
LOCAL,46,200,9.39,
LOCAL,47,200,8.94,
LOCAL,48,200,9.16,
LOCAL,50,200,7.73,
LOCAL,49,200,9.99,
LOCAL,52,200,7.62,
LOCAL,51,200,8.91,
LOCAL,53,200,10.08,
LOCAL,56,200,7.96,
LOCAL,54,200,10.33,
LOCAL,55,200,9.65,
LOCAL,58,200,7.68,
LOCAL,59,200,7.87,
LOCAL,57,200,9.66,
LOCAL,60,200,8.18,
LOCAL,61,200,8.38,
LOCAL,62,200,8.43,
LOCAL,63,200,6.30,
LOCAL,64,200,6.33,
LOCAL,65,200,6.50,
LOCAL,66,200,6.47,
LOCAL,67,200,6.84,
LOCAL,68,200,6.77,
LOCAL,69,200,6.97,
LOCAL,70,200,7.12,
LOCAL,71,200,7.46,
LOCAL,72,200,7.26,
LOCAL,73,200,7.24,
LOCAL,74,200,7.28,
LOCAL,75,200,7.42,
LOCAL,76,200,7.53,
LOCAL,77,200,7.18,
LOCAL,78,200,7.27,
LOCAL,79,200,7.00,
LOCAL,80,200,6.90,
LOCAL,81,200,6.46,
LOCAL,82,200,6.34,
LOCAL,83,200,6.95,
LOCAL,84,200,6.93,
LOCAL,85,200,6.87,
LOCAL,86,200,6.73,
LOCAL,87,200,6.82,
LOCAL,88,200,6.82,
LOCAL,89,200,6.95,
LOCAL,90,200,7.31,
LOCAL,91,200,7.44,
LOCAL,92,200,7.39,
LOCAL,93,200,6.76,
LOCAL,94,200,6.59,
LOCAL,95,200,6.41,
LOCAL,96,200,6.44,
LOCAL,97,200,6.23,
LOCAL,98,200,6.24,
LOCAL,99,200,6.29,
