provider,request_id,status,duration_ms,error
LOCAL,0,200,628.37,
LOCAL,6,200,634.21,
LOCAL,7,200,767.38,
LOCAL,3,200,773.21,
LOCAL,1,200,773.60,
LOCAL,5,200,773.37,
LOCAL,2,200,780.35,
LOCAL,9,200,782.45,
LOCAL,8,200,785.83,
LOCAL,4,200,786.42,
LOCAL,10,200,573.42,
LOCAL,11,200,583.09,
LOCAL,13,200,577.67,
LOCAL,12,200,591.39,
LOCAL,14,200,584.69,
LOCAL,15,200,588.32,
LOCAL,16,200,596.67,
LOCAL,17,200,594.80,
LOCAL,19,200,591.11,
LOCAL,18,200,593.76,
LOCAL,20,200,589.88,
LOCAL,21,200,576.17,
LOCAL,22,200,586.07,
LOCAL,24,200,578.27,
LOCAL,25,200,580.50,
LOCAL,23,200,589.05,
LOCAL,27,200,569.73,
LOCAL,26,200,583.68,
LOCAL,28,200,588.66,
LOCAL,29,200,588.05,
LOCAL,31,200,590.71,
LOCAL,30,200,592.77,
LOCAL,33,200,582.60,
LOCAL,32,200,591.47,
LOCAL,34,200,584.72,
LOCAL,36,200,590.54,
LOCAL,38,200,573.65,
LOCAL,39,200,573.41,
LOCAL,35,200,594.26,
LOCAL,37,200,582.13,
LOCAL,40,200,570.21,
LOCAL,41,200,575.73,
LOCAL,45,200,575.09,
LOCAL,48,200,579.56,
LOCAL,43,200,588.00,
LOCAL,47,200,585.03,
LOCAL,44,200,588.31,
LOCAL,49,200,588.48,
LOCAL,42,200,602.42,
LOCAL,46,200,593.93,
LOCAL,50,200,571.91,
LOCAL,51,200,572.36,
LOCAL,53,200,577.53,
LOCAL,52,200,585.43,
LOCAL,54,200,583.02,
LOCAL,59,200,577.82,
LOCAL,55,200,585.86,
LOCAL,57,200,584.79,
LOCAL,56,200,581.10,
LOCAL,58,200,585.14,
LOCAL,60,200,592.36,
LOCAL,61,200,591.51,
LOCAL,65,200,588.26,
LOCAL,69,200,589.46,
LOCAL,66,200,595.24,
LOCAL,63,200,606.24,
LOCAL,62,200,609.48,
LOCAL,68,200,603.70,
LOCAL,64,200,609.86,
LOCAL,67,200,606.62,
LOCAL,70,200,608.38,
LOCAL,71,200,603.85,
LOCAL,78,200,578.59,
LOCAL,77,200,587.68,
LOCAL,73,200,599.85,
LOCAL,76,200,593.60,
LOCAL,72,200,603.54,
LOCAL,75,200,601.99,
LOCAL,74,200,605.90,
LOCAL,79,200,639.83,
LOCAL,81,200,608.13,
LOCAL,80,200,609.60,
LOCAL,82,200,591.76,
LOCAL,83,200,587.31,
LOCAL,84,200,607.47,
LOCAL,86,200,605.92,
LOCAL,88,200,604.44,
LOCAL,85,200,614.19,
LOCAL,87,200,614.44,
LOCAL,89,200,579.81,
LOCAL,90,200,595.63,
LOCAL,91,200,629.27,
LOCAL,92,200,581.69,
LOCAL,93,200,580.19,
LOCAL,96,200,575.92,
LOCAL,94,200,579.69,
LOCAL,95,200,584.77,
LOCAL,97,200,579.73,
LOCAL,98,200,577.69,
LOCAL,99,200,570.83,
